N,P,K,ph,temperature,humidity,rainfall
1.0,76.0,19.0,6.6695294,24.185532,46.68747,177.3378
6.0,69.0,19.0,4.7509294,26.886307,41.69618,94.46748
26.0,73.0,21.0,4.946264,31.331709,57.974293,161.78203
27.0,61.0,18.0,5.2662272,33.307117,67.077805,108.50902
27.0,71.0,23.0,7.1095977,23.45379,46.48715,150.87122
36.0,61.0,21.0,5.617008,34.53824,39.04469,168.59483
17.0,73.0,18.0,5.6323533,19.501122,34.510864,197.37526
26.0,72.0,22.0,4.6749415,28.767948,37.577923,91.72085
17.0,64.0,16.0,7.1617975,30.977587,32.24914,180.71683
14.0,74.0,19.0,6.624966,18.39759,36.826393,93.12331
39.0,60.0,15.0,5.0040746,35.093575,30.986855,116.91069
6.0,66.0,15.0,6.345806,34.931744,30.400467,159.26498
8.0,59.0,18.0,6.2168145,29.50523,35.720325,187.89618
2.0,67.0,18.0,5.9216666,34.51935,47.5298,129.00645
1.0,76.0,17.0,6.012719,28.434307,52.10011,147.04149
16.0,73.0,19.0,4.684079,18.416456,34.805412,163.27475
23.0,75.0,25.0,7.07717,31.07509,47.19848,91.31256
32.0,70.0,20.0,6.208843,20.893427,46.248566,195.5698
28.0,59.0,22.0,7.0518165,30.906078,52.79913,170.99199
5.0,62.0,23.0,4.7222223,27.934828,66.454575,145.37288
36.0,67.0,25.0,6.4180627,35.951767,36.52781,136.04567
1.0,66.0,23.0,4.8035645,19.54317,56.928314,173.16866
24.0,73.0,20.0,4.608695,19.637362,32.31529,176.4134
17.0,67.0,18.0,5.6115108,31.219275,56.46869,129.20287
5.0,55.0,18.0,7.322098,33.508762,45.709763,126.67381
5.0,56.0,24.0,5.023115,24.807102,45.0111,188.49286
37.0,77.0,17.0,5.6171227,36.209705,31.945507,191.06586
13.0,73.0,20.0,5.3915606,30.50421,35.48886,162.59277
6.0,63.0,23.0,5.906597,26.016302,49.94705,160.33374
16.0,77.0,22.0,6.5742097,31.484694,35.63956,100.546814
25.0,64.0,20.0,4.807777,33.151226,32.459743,105.038025
34.0,75.0,24.0,4.760038,23.502228,51.290195,192.3024
20.0,77.0,23.0,5.1802716,34.872486,38.83786,148.25027
35.0,80.0,25.0,4.8959274,28.09269,44.93322,197.1144
14.0,75.0,24.0,6.43616,24.547579,57.34145,118.36066
36.0,80.0,21.0,7.0660872,33.647697,48.4149,100.46733
7.0,77.0,18.0,6.655918,20.559126,60.548805,191.08951
29.0,78.0,25.0,5.9828544,19.959917,59.331577,195.78711
30.0,60.0,21.0,5.4578714,28.876677,62.49012,182.26881
20.0,74.0,16.0,4.75949,36.043537,43.61444,159.89386
19.0,57.0,23.0,7.3424096,23.673433,47.287968,141.12508
3.0,60.0,19.0,4.8207884,25.746794,40.71926,100.77916
5.0,77.0,19.0,6.242052,31.08565,66.68833,175.93033
5.0,68.0,20.0,5.0010386,18.729877,61.331863,139.871
37.0,73.0,21.0,5.5602245,29.503048,63.465134,189.52089
9.0,59.0,24.0,4.7473526,20.435177,39.372528,137.22797
20.0,72.0,15.0,7.313517,36.004158,56.013344,134.85965
31.0,56.0,23.0,5.6618266,31.468462,35.39454,174.5724
0.0,70.0,21.0,4.672437,36.300495,56.030212,101.6074
21.0,74.0,15.0,6.4718623,29.490967,67.10604,153.25046
13.0,67.0,18.0,5.384763,30.575304,34.755913,177.57643
27.0,74.0,20.0,5.859813,24.694878,59.966694,91.957924
29.0,72.0,24.0,6.9623866,23.174095,36.67847,162.59312
5.0,68.0,20.0,6.121667,19.043804,33.106953,155.37056
39.0,57.0,19.0,6.4217486,29.323795,45.932484,165.41133
22.0,62.0,16.0,4.828936,34.645542,54.323425,180.901
18.0,55.0,23.0,6.9857197,21.998983,56.310066,136.82744
39.0,77.0,21.0,4.6035633,22.997744,60.242188,159.68935
13.0,75.0,20.0,6.97954,30.559923,35.290066,178.89986
27.0,71.0,24.0,7.0649734,31.464178,48.176315,165.40535
26.0,64.0,22.0,5.1651645,25.950586,40.58227,109.18212
23.0,55.0,16.0,5.111489,21.011423,69.691414,185.20392
4.0,69.0,19.0,5.3743587,19.251001,47.703518,149.0632
20.0,67.0,19.0,5.671419,19.244627,50.544952,180.64653
7.0,74.0,17.0,5.66742,22.472532,62.565323,96.74707
17.0,64.0,18.0,6.0793843,36.750874,58.25799,124.60281
35.0,71.0,17.0,6.931925,29.892866,66.35375,198.1403
11.0,72.0,22.0,6.8427444,29.377356,44.822945,172.40169
20.0,60.0,22.0,6.8765726,29.65053,42.89833,186.9226
10.0,71.0,18.0,6.151029,19.542849,66.34777,173.1107
33.0,61.0,24.0,4.5674467,20.046118,48.939056,122.45642
3.0,49.0,18.0,3.6928637,27.910952,64.709305,32.678917
22.0,59.0,23.0,4.3717456,27.322206,51.278687,36.50379
36.0,58.0,25.0,8.399136,28.660242,59.318913,36.926296
4.0,43.0,18.0,8.840656,29.029554,61.093876,72.98016
29.0,54.0,16.0,8.153023,27.780315,54.6503,32.050255
32.0,43.0,22.0,5.2707496,31.999287,54.107746,71.62667
14.0,55.0,15.0,8.050304,27.33581,55.27756,73.447754
5.0,35.0,20.0,9.5,28.929527,53.57015,66.35634
25.0,57.0,24.0,6.9749784,27.654722,58.59986,36.94255
11.0,53.0,24.0,7.393899,28.523966,55.772644,61.329357
40.0,49.0,17.0,6.6872754,31.02216,45.892395,53.567833
38.0,56.0,25.0,7.8811865,25.740953,45.38497,67.43488
27.0,43.0,23.0,5.875334,31.704475,56.854202,44.943172
24.0,38.0,22.0,8.202706,24.478764,58.51664,34.969334
23.0,45.0,21.0,8.985348,31.465113,51.799393,74.443306
29.0,57.0,20.0,5.877075,25.609734,50.733006,53.392494
31.0,35.0,23.0,7.707595,30.302605,47.182835,68.0404
0.0,55.0,25.0,4.5241714,28.174894,43.66723,45.781727
7.0,45.0,22.0,9.5,25.506346,44.830254,74.32635
17.0,58.0,25.0,6.4555926,31.128967,43.587887,32.76743
11.0,44.0,17.0,8.016211,26.340433,55.591602,35.105118
22.0,49.0,22.0,3.711059,28.234947,61.56205,72.666664
9.0,51.0,19.0,5.4909105,27.044535,49.326096,48.25208
28.0,48.0,15.0,9.254089,25.161253,55.254356,40.897327
26.0,50.0,19.0,6.005243,27.317913,51.669212,32.559196
36.0,56.0,20.0,7.437078,25.412376,49.66474,31.87417
8.0,60.0,18.0,3.8084292,31.2163,46.01868,53.12053
24.0,37.0,21.0,5.818219,30.574,58.226868,62.74804
22.0,43.0,24.0,4.5236354,25.42517,53.220825,46.193745
36.0,43.0,24.0,3.5104043,27.094006,43.653053,41.537495
22.0,44.0,24.0,6.0304475,24.309351,56.329384,58.99536
17.0,43.0,22.0,5.4983406,30.061426,45.900677,41.05509
8.0,45.0,15.0,4.611364,28.09569,60.98354,33.841106
7.0,56.0,23.0,5.5452194,26.339088,40.009335,55.50429
36.0,57.0,16.0,8.292875,28.61409,57.14219,57.028915
11.0,45.0,19.0,3.8280315,28.70012,44.35965,44.116222
6.0,36.0,22.0,8.869533,24.216103,59.792362,42.247833
17.0,57.0,20.0,3.7935753,28.506779,45.200943,66.17615
4.0,47.0,20.0,4.193189,25.97949,64.95586,72.19246
9.0,49.0,16.0,7.661537,30.884827,41.36562,55.053806
25.0,51.0,24.0,9.392694,25.504242,61.66852,65.07982
36.0,44.0,21.0,4.5161543,25.12529,51.331894,38.48679
21.0,38.0,20.0,5.7942896,27.10508,63.567913,62.202797
37.0,57.0,20.0,7.354287,31.100624,44.82069,70.79935
32.0,48.0,18.0,5.9935136,26.457077,56.402264,64.161674
29.0,44.0,20.0,8.620108,30.041323,63.56223,31.831924
25.0,51.0,18.0,9.459494,27.777996,54.82131,50.284386
10.0,44.0,24.0,8.034412,30.992569,43.021515,58.27601
23.0,35.0,18.0,5.4144926,26.490833,47.36535,36.99363
9.0,60.0,23.0,6.2760043,31.96988,57.17377,64.2552
3.0,58.0,21.0,9.160692,25.361404,46.826527,55.605232
22.0,42.0,22.0,7.8876586,25.542492,56.966408,48.46797
12.0,39.0,21.0,8.183845,28.99319,62.85948,70.471306
39.0,36.0,22.0,9.072011,29.343174,60.50321,34.033356
32.0,41.0,16.0,7.702287,28.636189,61.394512,68.54878
30.0,41.0,15.0,5.8850965,24.832066,44.17085,52.08109
19.0,36.0,22.0,6.164963,25.44689,58.553635,57.048267
4.0,46.0,15.0,3.5047524,31.012749,62.403927,63.771923
21.0,39.0,20.0,7.3880076,27.061796,52.300316,60.745834
35.0,57.0,25.0,8.340398,27.095629,42.262062,71.127106
22.0,55.0,24.0,8.66078,28.568007,57.30636,64.53027
35.0,51.0,17.0,3.5588229,28.799292,49.842133,40.855347
17.0,56.0,17.0,5.956585,27.942938,45.413937,69.6629
28.0,57.0,17.0,9.416003,30.477577,61.582455,61.86634
22.0,36.0,16.0,8.184229,30.581394,50.77148,64.585594
11.0,41.0,19.0,5.131779,26.859114,41.81421,44.13827
38.0,38.0,18.0,6.2941303,26.310518,61.187492,35.73404
23.0,37.0,24.0,7.9919024,28.778334,44.22526,33.958256
25.0,35.0,20.0,8.923096,28.902454,43.353657,71.900185
40.0,45.0,20.0,6.878498,29.376875,57.696228,38.343033
23.0,58.0,19.0,5.2436347,24.170933,58.252045,59.189533
2.0,56.0,23.0,7.550091,26.65333,59.790234,36.918526
3.0,56.0,17.0,8.709291,28.199121,53.505676,52.135807
26.0,51.0,25.0,7.792508,28.764889,52.627415,55.21607
39.0,42.0,20.0,8.055909,29.34997,61.25354,40.828407
27.0,59.0,20.0,4.397699,28.009375,52.6095,36.01203
24.0,45.0,19.0,5.952385,26.858519,48.82464,34.742645
7.0,40.0,17.0,8.532079,31.212395,40.92605,53.7877
15.0,45.0,23.0,7.2241936,24.204226,61.43379,46.020397
26.0,52.0,23.0,4.9318905,29.988354,49.603848,52.929295
20.0,45.0,16.0,4.6262126,29.93965,54.618134,45.4367
34.0,54.0,24.0,5.026004,31.21193,41.559345,68.801414
19.0,51.0,25.0,3.525366,26.804745,48.239914,43.87802
29.0,41.0,21.0,8.869797,31.49398,62.849167,64.56808
20.0,50.0,22.0,9.406888,30.996946,46.426937,38.31598
11.0,40.0,23.0,5.804286,29.61253,63.047493,50.197826
15.0,54.0,15.0,8.354959,29.976044,57.031845,44.86053
35.0,55.0,22.0,8.63493,30.88883,52.62697,55.519325
9.0,59.0,25.0,7.699201,30.393213,60.162994,35.37493
40.0,45.0,18.0,5.261286,30.436838,55.20522,30.920141
35.0,38.0,19.0,9.112772,25.326887,63.181805,32.711292
14.0,58.0,17.0,4.6057005,30.536842,59.96665,33.48919
40.0,55.0,18.0,7.115994,30.382578,40.592606,47.954063
18.0,36.0,23.0,7.2140784,24.018253,53.766235,35.034042
35.0,52.0,15.0,9.5,28.698412,61.147545,65.67592
4.0,59.0,22.0,8.914075,29.337435,49.00323,42.440544
22.0,51.0,16.0,8.639586,27.965837,61.349003,70.10472
33.0,47.0,17.0,8.621514,24.86804,48.27532,63.918766
2.0,51.0,17.0,5.8385086,25.876823,45.96342,38.532547
16.0,51.0,21.0,3.5320086,31.019636,49.976753,32.812965
19.0,55.0,20.0,7.1853013,27.433294,87.80508,54.733677
8.0,54.0,20.0,7.0342145,28.334044,80.77276,38.79764
36.0,55.0,20.0,6.6359687,27.014704,84.34263,55.296352
10.0,56.0,16.0,6.8281875,28.174326,81.04555,36.35721
22.0,56.0,17.0,6.89078,29.878881,87.327614,44.75216
9.0,57.0,24.0,7.165121,29.892328,89.715034,42.99499
34.0,59.0,23.0,6.9358044,28.562122,83.24856,56.48265
31.0,51.0,25.0,7.196774,27.535929,85.57019,53.018993
0.0,49.0,18.0,6.9900956,29.683617,87.93598,41.8249
21.0,39.0,20.0,7.064782,28.144485,82.11931,46.7569
28.0,35.0,22.0,7.1565633,29.530376,86.73346,59.872322
17.0,52.0,17.0,6.3649673,27.88353,86.45148,44.64407
24.0,42.0,23.0,6.4280543,28.224712,82.35916,44.012066
28.0,46.0,16.0,6.664188,29.008123,84.96089,45.910114
21.0,38.0,21.0,6.6376777,29.755388,86.451935,37.54603
34.0,60.0,25.0,6.7938557,29.784168,85.16907,40.77873
19.0,53.0,22.0,6.852885,27.864014,80.45132,42.83054
31.0,58.0,15.0,7.121571,27.110266,84.96772,51.526173
19.0,35.0,24.0,6.883308,27.110304,83.64274,49.119644
24.0,53.0,17.0,6.4212713,28.954512,89.07866,57.65901
13.0,47.0,20.0,6.5445023,29.2178,87.93724,43.138664
31.0,53.0,16.0,6.4520063,28.74201,85.81676,48.545986
28.0,45.0,23.0,6.4892592,29.650211,80.29868,56.762783
31.0,37.0,21.0,6.713411,27.23925,86.40424,37.31237
33.0,60.0,15.0,6.510841,28.951723,81.67085,56.511032
34.0,45.0,21.0,6.28738,28.188372,82.60629,37.011105
13.0,57.0,25.0,6.8630857,28.300415,86.20682,50.47334
33.0,57.0,17.0,6.7841525,27.89636,88.71782,57.798634
32.0,57.0,22.0,6.769416,28.689985,87.50437,44.565983
23.0,59.0,25.0,6.3207684,27.826262,88.731,56.68834
35.0,41.0,18.0,6.7050085,28.705627,81.59201,59.870655
6.0,48.0,24.0,6.790736,28.636282,84.61431,48.483192
29.0,36.0,25.0,7.1302786,28.285116,88.4394,48.566902
4.0,36.0,22.0,7.0127406,27.608873,86.13316,43.80041
10.0,59.0,22.0,7.155685,28.60901,86.99496,36.94617
14.0,48.0,21.0,6.9912424,29.245989,84.80084,53.43229
8.0,50.0,21.0,6.218924,28.629112,89.11481,50.499134
20.0,40.0,15.0,7.1994953,29.573296,88.07506,45.04467
36.0,43.0,22.0,6.389882,27.826843,87.166794,58.372498
14.0,57.0,15.0,6.6234384,29.875702,83.147964,40.12044
11.0,60.0,23.0,7.033013,27.336843,88.50229,51.098026
10.0,59.0,15.0,6.3240047,29.830404,89.30428,58.86687
7.0,60.0,25.0,6.397637,28.275316,82.76021,56.049953
2.0,47.0,15.0,6.401456,29.8686,85.99128,58.41394
20.0,45.0,22.0,6.904587,29.588816,89.99397,54.961212
2.0,39.0,15.0,6.478557,28.072195,82.911644,49.618652
27.0,40.0,24.0,7.063022,27.840265,89.996155,52.84626
35.0,48.0,15.0,6.9817586,27.108181,87.45126,55.03724
4.0,59.0,25.0,6.227134,27.685152,81.94269,54.622433
1.0,48.0,24.0,6.232837,29.345947,85.60473,59.0363
36.0,43.0,21.0,7.140438,28.363194,84.85936,52.93031
11.0,46.0,24.0,6.459252,27.652802,89.8065,56.52558
34.0,47.0,19.0,6.568795,27.313728,85.44815,53.152233
21.0,44.0,18.0,7.128511,27.0691,86.89934,50.46746
17.0,58.0,20.0,6.429379,28.06643,85.91625,39.23831
25.0,40.0,21.0,6.248901,27.733292,81.13903,44.175808
2.0,38.0,18.0,6.6198916,27.53633,89.929085,45.48592
9.0,48.0,20.0,6.3775687,29.664616,84.281876,56.09542
37.0,49.0,25.0,6.4154596,29.914545,85.85384,41.390816
36.0,38.0,15.0,6.320662,28.363638,87.59811,57.995243
40.0,58.0,15.0,6.9784,29.46416,87.6089,43.154114
30.0,44.0,16.0,6.4423356,29.730131,82.89166,50.91511
1.0,59.0,23.0,7.1843987,27.46853,87.17649,43.78421
9.0,48.0,22.0,6.4029264,27.770763,87.09979,49.508125
14.0,41.0,17.0,7.0859823,29.129395,88.48312,36.450127
35.0,52.0,19.0,6.698574,27.106068,89.895935,37.456806
31.0,48.0,17.0,6.5947394,28.880789,86.94207,53.797325
4.0,41.0,20.0,6.6479654,28.14721,83.80015,37.448006
30.0,37.0,25.0,7.1200323,29.89129,80.144875,54.796013
9.0,35.0,20.0,6.9138093,27.415035,80.98005,40.53173
20.0,41.0,20.0,7.073048,29.273087,89.4875,50.924656
37.0,50.0,23.0,6.530471,29.65297,88.48587,56.01913
34.0,35.0,21.0,6.6843815,28.44525,82.6764,58.18713
14.0,37.0,15.0,6.5813513,27.962357,83.97587,48.936695
23.0,39.0,22.0,6.864839,29.256493,81.97952,42.024834
5.0,45.0,21.0,6.4871244,28.362913,88.009895,43.0513
22.0,37.0,20.0,6.605733,27.627495,86.49367,39.261375
40.0,51.0,17.0,6.860603,28.660864,86.12195,50.015343
27.0,56.0,20.0,6.418743,29.211422,87.114975,51.538483
31.0,40.0,22.0,6.365514,29.408894,86.16064,53.35487
38.0,36.0,21.0,6.556373,28.029526,84.884575,36.12043
6.0,37.0,17.0,6.760694,28.086573,80.35006,38.144768
6.0,47.0,18.0,6.7152767,29.161747,80.28038,40.16546
24.0,44.0,17.0,6.6663804,29.859692,80.034996,50.664875
25.0,59.0,19.0,6.62663,29.066315,83.68692,43.951836
32.0,56.0,21.0,6.7027726,27.38539,88.66664,58.29933
8.0,45.0,18.0,7.0110307,27.93035,85.420586,43.250957
19.0,39.0,17.0,6.8901563,29.28086,81.80093,44.474274
39.0,37.0,15.0,6.821747,28.997314,83.789116,59.844994
33.0,37.0,19.0,7.18319,27.926786,86.55432,43.48262
26.0,54.0,17.0,6.2725883,28.547413,88.95705,49.489723
21.0,51.0,15.0,6.6791277,29.364883,89.1887,48.301594
22.0,54.0,20.0,6.689825,28.561499,83.63802,41.01313
29.0,45.0,16.0,6.583382,28.436834,87.91333,43.120632
4.0,40.0,21.0,6.725551,28.797281,80.45744,44.300705
10.0,37.0,22.0,7.069748,28.727528,89.1276,58.529743
4.0,44.0,19.0,6.9219937,27.956396,83.52706,43.257267
20.0,45.0,17.0,6.770955,28.174587,83.696594,37.246464
23.0,45.0,23.0,6.9831305,28.776535,86.69134,56.12443
25.0,48.0,21.0,6.2676845,28.438097,83.489914,52.5547
56.0,79.0,15.0,7.454532,29.4844,63.199154,71.89091
25.0,62.0,21.0,7.040056,26.734339,68.14,67.15096
42.0,61.0,22.0,7.4186506,26.272743,62.288147,70.23208
42.0,73.0,25.0,6.501869,34.036793,67.211136,73.23573
44.0,58.0,18.0,6.814411,28.03644,65.06602,72.49508
50.0,55.0,16.0,7.581443,28.814608,65.33538,62.262424
35.0,72.0,21.0,7.741419,34.036194,64.28791,66.85511
30.0,64.0,20.0,6.5735316,33.864292,61.570724,68.021996
27.0,64.0,21.0,7.543804,32.84213,68.68401,73.67166
50.0,74.0,17.0,6.5408206,27.100533,63.360855,73.849495
39.0,73.0,24.0,7.224059,25.658424,61.182358,69.28608
57.0,67.0,25.0,7.5513644,32.34744,66.614525,64.55882
52.0,63.0,19.0,6.928899,29.58949,68.32177,67.53021
55.0,66.0,22.0,7.747775,30.912195,68.79427,66.638306
51.0,56.0,18.0,6.706506,28.127878,64.20978,70.86341
36.0,66.0,15.0,6.6682386,30.085453,69.34812,67.13674
59.0,55.0,19.0,7.332375,31.743795,62.51008,68.97098
50.0,58.0,23.0,7.596802,27.813269,62.504604,69.755554
30.0,65.0,25.0,7.706509,32.887337,64.594574,71.50569
20.0,62.0,18.0,7.366543,29.363586,64.98743,61.912086
58.0,71.0,15.0,6.919244,27.825928,67.58619,74.0123
25.0,71.0,24.0,7.1877217,28.495388,60.448483,74.915596
52.0,71.0,16.0,7.0758862,27.742748,68.53997,71.786156
40.0,63.0,18.0,6.7444115,30.415884,67.66324,63.02473
20.0,60.0,25.0,6.726469,27.32542,69.09048,61.19251
48.0,61.0,21.0,6.628265,30.284966,61.69295,65.62859
49.0,68.0,22.0,7.127064,28.568407,61.532787,63.497265
48.0,62.0,15.0,7.5386314,25.365862,66.63797,65.81656
32.0,66.0,17.0,7.162358,34.946617,65.26774,70.14152
21.0,63.0,22.0,6.8594093,25.097374,67.72838,74.6165
20.0,72.0,19.0,7.397191,32.476482,64.34849,65.82046
25.0,65.0,21.0,6.8802457,33.86351,68.59232,69.244644
41.0,78.0,21.0,6.581313,25.198578,60.373325,70.88787
53.0,67.0,17.0,7.2969723,31.776817,69.01853,61.46893
39.0,60.0,21.0,6.9729767,34.898148,63.599487,64.727974
25.0,76.0,17.0,7.2411485,31.741055,68.635254,62.306175
21.0,78.0,19.0,6.9200907,27.16159,66.76017,69.85112
57.0,60.0,17.0,7.504608,26.237732,67.885216,73.58664
56.0,75.0,15.0,7.152272,30.201572,60.06535,66.37171
49.0,72.0,15.0,7.137005,31.558464,67.83564,74.869606
24.0,80.0,19.0,6.8080416,29.678925,69.08546,65.66437
49.0,76.0,18.0,7.393632,27.053652,67.70175,60.469383
28.0,68.0,19.0,7.6995068,34.63881,61.38598,72.431694
55.0,78.0,21.0,6.602888,33.394386,62.936928,63.57446
50.0,64.0,25.0,6.7344475,28.840792,63.372307,70.25497
34.0,80.0,19.0,6.521218,31.493383,63.056366,71.48327
20.0,68.0,23.0,7.7073326,25.549606,63.954254,63.183052
55.0,67.0,16.0,6.596719,34.37329,69.693665,70.27185
23.0,70.0,15.0,7.4036236,34.600826,63.11297,60.417904
53.0,74.0,15.0,7.517097,29.434639,64.94329,72.178185
26.0,67.0,16.0,7.176208,29.10713,67.90578,67.83346
33.0,80.0,22.0,6.5939617,28.57006,65.71766,70.08665
37.0,79.0,19.0,7.143943,27.543848,69.34786,69.40878
33.0,75.0,21.0,6.690655,33.04688,68.93876,62.302784
22.0,55.0,20.0,7.4235306,33.95309,69.961,61.163506
20.0,68.0,17.0,6.578715,30.11873,60.11681,71.729805
43.0,68.0,20.0,7.4974694,29.578127,66.17588,69.43896
44.0,76.0,22.0,7.775306,27.26459,68.01233,68.91754
34.0,60.0,16.0,7.322555,31.357307,64.24992,63.85669
21.0,72.0,17.0,7.5805273,31.521048,66.557236,61.711113
25.0,68.0,19.0,7.10845,29.399828,64.255104,67.476776
41.0,62.0,15.0,7.3589745,29.384003,64.149284,65.24194
28.0,65.0,23.0,7.405176,28.386866,61.88871,74.24459
35.0,64.0,15.0,6.500145,28.474422,63.536045,69.52744
52.0,58.0,16.0,7.1674356,30.640957,61.145084,71.36948
58.0,75.0,25.0,7.2617917,25.255962,61.366695,68.64685
34.0,66.0,19.0,7.5866423,32.970306,60.18122,73.446785
52.0,70.0,16.0,7.534812,33.668552,66.60417,67.3252
23.0,57.0,19.0,7.251001,32.839638,67.99804,73.404526
42.0,58.0,25.0,6.513621,27.458536,62.90021,69.46021
37.0,62.0,17.0,7.121255,25.685766,69.843544,74.62069
44.0,75.0,22.0,7.5745616,30.03284,64.148,71.21007
21.0,80.0,20.0,7.3508697,28.206673,68.27085,64.32887
56.0,76.0,16.0,7.513151,28.27266,61.18956,63.299007
29.0,76.0,15.0,7.0256076,28.541723,64.20202,69.68862
43.0,61.0,20.0,6.804254,26.87187,61.613674,63.51822
55.0,60.0,15.0,7.163044,32.79767,68.77994,64.11411
44.0,63.0,15.0,7.3389297,26.42333,64.51137,63.465466
29.0,67.0,21.0,6.6213236,29.791811,63.387894,63.021698
47.0,63.0,16.0,6.661871,27.440033,67.104645,72.5067
40.0,68.0,17.0,7.7331495,34.126297,65.14877,70.40795
58.0,61.0,15.0,7.4028916,30.949081,64.23364,62.787308
41.0,74.0,18.0,6.5991473,28.757519,61.027016,73.37687
58.0,79.0,17.0,7.0417414,27.247665,66.101234,62.31842
27.0,62.0,24.0,7.3538766,28.630054,66.77094,62.273735
27.0,60.0,17.0,7.0267954,26.417683,63.646984,64.42177
52.0,65.0,20.0,6.814301,32.81705,66.156654,68.83925
44.0,55.0,25.0,7.4216084,29.632105,65.9136,71.16332
21.0,62.0,24.0,6.847383,33.490772,62.733173,65.453285
60.0,59.0,22.0,7.1915226,31.868473,66.74217,74.22239
33.0,77.0,21.0,7.012855,30.329922,65.629715,71.64632
59.0,58.0,17.0,7.368319,28.546225,66.31394,62.834698
29.0,63.0,17.0,7.2615433,30.026299,67.888115,66.47265
59.0,63.0,18.0,6.5266914,31.655312,60.132637,66.69096
29.0,70.0,15.0,6.8725944,30.334997,63.547188,74.16699
58.0,73.0,16.0,6.874142,33.369843,65.677185,64.89517
55.0,77.0,22.0,7.760618,31.434505,62.993034,64.77651
42.0,79.0,23.0,6.7818418,27.716784,63.291035,68.56508
44.0,77.0,21.0,7.3269806,32.639187,61.300903,61.83876
38.0,62.0,25.0,7.453975,32.747738,67.77955,63.377846
32.0,76.0,15.0,7.6041102,28.051537,63.49802,43.357952
13.0,61.0,22.0,7.7288322,19.440844,63.277714,46.831303
38.0,60.0,20.0,7.491217,29.84823,60.638725,46.804527
11.0,74.0,17.0,6.6338644,21.363838,69.92376,46.63529
37.0,71.0,16.0,7.3248634,26.28664,68.51967,46.13833
29.0,71.0,18.0,6.4104414,22.175,62.138737,53.466225
2.0,72.0,18.0,7.8367195,26.575975,60.978767,50.891106
6.0,59.0,21.0,6.139216,26.589725,66.140076,50.909946
13.0,64.0,20.0,6.590571,19.134577,62.575268,36.46947
8.0,58.0,17.0,7.28605,28.752731,69.1564,35.154263
6.0,77.0,20.0,6.058306,25.787462,60.28163,49.14337
2.0,75.0,22.0,6.6586056,23.89272,61.787796,52.5573
3.0,69.0,23.0,7.2993608,28.674088,63.18833,42.960186
27.0,80.0,24.0,7.815211,28.420628,61.773365,49.023666
39.0,78.0,15.0,5.9253917,21.354994,62.601364,41.7822
40.0,79.0,17.0,6.4036837,21.126955,63.187386,38.718346
37.0,62.0,22.0,7.3975463,24.020378,61.623135,49.781025
31.0,60.0,24.0,7.722336,25.404745,65.85675,51.920574
22.0,67.0,22.0,7.475927,29.030176,64.49167,54.939377
3.0,78.0,18.0,6.8871303,20.213682,68.65258,50.89733
4.0,80.0,16.0,7.441977,29.195856,68.01966,44.93262
13.0,61.0,24.0,7.6299105,18.297836,69.68976,49.391113
12.0,66.0,20.0,7.3361173,27.41435,63.41786,44.431774
4.0,61.0,21.0,6.7502055,24.84064,60.091167,48.777905
9.0,60.0,21.0,7.5217805,29.94414,67.31323,40.371136
18.0,66.0,22.0,6.347379,25.879904,67.55109,47.896454
32.0,56.0,18.0,7.1352515,20.046772,65.843956,46.05333
6.0,72.0,15.0,7.670178,22.99452,66.70897,54.49044
15.0,77.0,20.0,7.3997493,25.131636,66.92642,49.040157
0.0,65.0,24.0,7.841496,28.495844,62.446163,53.14531
30.0,79.0,22.0,6.2542167,18.28766,69.48515,48.604496
3.0,63.0,16.0,6.8688817,24.380419,61.18458,53.139465
2.0,78.0,23.0,7.3205147,21.318521,66.43935,45.426167
10.0,78.0,18.0,6.296977,18.541418,62.706375,44.078197
14.0,67.0,25.0,7.241152,25.287106,60.859936,49.3737
39.0,65.0,23.0,7.6859593,25.434597,69.12614,41.02683
19.0,72.0,15.0,6.89076,28.83601,69.76113,44.085625
18.0,57.0,21.0,6.1559157,27.376596,63.939278,49.473717
31.0,58.0,15.0,6.1678553,28.318869,60.194614,45.36521
28.0,58.0,25.0,6.86164,27.481865,62.04815,37.81124
5.0,65.0,19.0,6.9783616,18.280722,68.10365,48.802532
16.0,65.0,19.0,7.0431604,27.61205,69.29786,42.723743
34.0,65.0,19.0,5.9423923,23.439747,63.220116,45.402775
14.0,69.0,19.0,7.239455,20.956285,63.68129,52.39881
22.0,55.0,16.0,6.5163174,23.793715,68.03209,49.73922
24.0,61.0,17.0,6.233269,22.637142,65.44545,38.30411
2.0,79.0,15.0,7.505284,21.535778,65.472275,35.751076
26.0,63.0,17.0,6.9503007,29.878546,65.73085,44.956547
27.0,61.0,15.0,6.958055,25.26533,67.100044,48.339413
24.0,70.0,16.0,6.5480347,25.178854,68.933075,35.034847
13.0,74.0,25.0,6.4616184,24.121925,61.095337,44.236294
6.0,64.0,23.0,7.065264,23.335651,67.40461,36.186787
12.0,58.0,23.0,6.7650914,21.746,63.39503,50.43306
32.0,79.0,22.0,5.916454,27.601955,63.461708,54.378143
6.0,68.0,18.0,6.7113414,24.388718,62.50453,47.260525
10.0,79.0,20.0,6.3798814,24.982874,66.89541,38.213707
38.0,77.0,22.0,6.3132844,28.234829,69.315994,35.368313
17.0,74.0,17.0,7.393211,26.03027,69.55863,37.113956
26.0,68.0,24.0,7.504931,28.048496,64.07692,37.15825
